 (-0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000+0.000000j), (0.000000+0.000000j), (0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000+0.000000j), (-0.000001+0.000000j), (-0.000002-0.000000j), (-0.000003-0.000002j), (-0.000004-0.000008j), (0.000000-0.000022j), (0.000027-0.000048j), (0.000116-0.000069j), (0.000330-0.000008j), (0.000715+0.000381j), (0.001064+0.001681j), (0.000199+0.004895j), (-0.005746+0.010728j), (-0.026479+0.015760j), (-0.080856-0.000846j), (-0.191485-0.116637j), (0.666317-0.576440j), (-0.191485-0.116637j), (-0.080856-0.000846j), (-0.026479+0.015760j), (-0.005746+0.010728j), (0.000199+0.004895j), (0.001064+0.001681j), (0.000715+0.000381j), (0.000330-0.000008j), (0.000116-0.000069j), (0.000027-0.000048j), (0.000000-0.000022j), (-0.000004-0.000008j), (-0.000003-0.000002j), (-0.000002-0.000000j), (-0.000001+0.000000j), (0.000000-0.000000j), (0.000000+0.000000j), (0.000000+0.000000j), (0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000001j), (0.000000-0.000002j), (0.000002-0.000003j), (0.000008-0.000004j), (0.000022+0.000000j), (0.000048+0.000028j), (0.000069+0.000116j), (0.000010+0.000333j), (-0.000375+0.000729j), (-0.001672+0.001128j), (-0.004922+0.000483j), (-0.011145-0.004558j), (-0.018800-0.021835j), (-0.017061-0.064187j), (0.022429-0.139023j), (0.117948-0.208479j), (0.022429-0.139023j), (-0.017061-0.064187j), (-0.018800-0.021835j), (-0.011145-0.004558j), (-0.004922+0.000483j), (-0.001672+0.001128j), (-0.000375+0.000729j), (0.000010+0.000333j), (0.000069+0.000116j), (0.000048+0.000028j), (0.000022+0.000000j), (0.000008-0.000004j), (0.000002-0.000003j), (0.000000-0.000002j), (-0.000000-0.000001j)
 (-0.000000-0.000000j), (-0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000+0.000000j), (0.000000+0.000000j), (0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000+0.000000j), (-0.000001+0.000000j), (-0.000002-0.000000j), (-0.000003-0.000002j), (-0.000004-0.000008j), (0.000000-0.000022j), (0.000027-0.000048j), (0.000116-0.000069j), (0.000330-0.000008j), (0.000715+0.000381j), (0.001064+0.001681j), (0.000199+0.004895j), (-0.005746+0.010728j), (-0.026479+0.015760j), (-0.080856-0.000846j), (-0.191485-0.116637j), (0.666317-0.576440j), (-0.191485-0.116637j), (-0.080856-0.000846j), (-0.026479+0.015760j), (-0.005746+0.010728j), (0.000199+0.004895j), (0.001064+0.001681j), (0.000715+0.000381j), (0.000330-0.000008j), (0.000116-0.000069j), (0.000027-0.000048j), (0.000000-0.000022j), (-0.000004-0.000008j), (-0.000003-0.000002j), (-0.000001-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000+0.000000j), (0.000000+0.000000j), (0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000001j), (0.000000-0.000002j), (0.000002-0.000003j), (0.000008-0.000004j), (0.000022+0.000000j), (0.000048+0.000028j), (0.000069+0.000116j), (0.000010+0.000333j), (-0.000375+0.000729j), (-0.001672+0.001128j), (-0.004922+0.000483j), (-0.011145-0.004558j), (-0.018800-0.021835j), (-0.017061-0.064187j), (0.022429-0.139023j), (0.117948-0.208479j), (0.022429-0.139023j), (-0.017061-0.064187j), (-0.018800-0.021835j), (-0.011145-0.004558j), (-0.004922+0.000483j), (-0.001672+0.001128j), (-0.000375+0.000729j), (0.000010+0.000333j), (0.000069+0.000116j), (0.000048+0.000028j), (0.000022+0.000000j), (0.000008-0.000004j), (0.000002-0.000003j), (0.000000-0.000001j)
 (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000+0.000000j), (0.000000+0.000000j), (0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000+0.000000j), (-0.000001+0.000000j), (-0.000002-0.000000j), (-0.000003-0.000002j), (-0.000004-0.000008j), (0.000000-0.000022j), (0.000027-0.000048j), (0.000116-0.000069j), (0.000330-0.000008j), (0.000715+0.000381j), (0.001064+0.001681j), (0.000199+0.004895j), (-0.005746+0.010728j), (-0.026479+0.015760j), (-0.080856-0.000846j), (-0.191485-0.116637j), (0.666317-0.576440j), (-0.191485-0.116637j), (-0.080856-0.000846j), (-0.026479+0.015760j), (-0.005746+0.010728j), (0.000199+0.004895j), (0.001064+0.001681j), (0.000715+0.000381j), (0.000330-0.000008j), (0.000116-0.000069j), (0.000027-0.000048j), (0.000000-0.000022j), (-0.000004-0.000008j), (-0.000003-0.000002j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000+0.000000j), (0.000000+0.000000j), (0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000001j), (0.000000-0.000002j), (0.000002-0.000003j), (0.000008-0.000004j), (0.000022+0.000000j), (0.000048+0.000028j), (0.000069+0.000116j), (0.000010+0.000333j), (-0.000375+0.000729j), (-0.001672+0.001128j), (-0.004922+0.000483j), (-0.011145-0.004558j), (-0.018800-0.021835j), (-0.017061-0.064187j), (0.022429-0.139023j), (0.117948-0.208479j), (0.022429-0.139023j), (-0.017061-0.064187j), (-0.018800-0.021835j), (-0.011145-0.004558j), (-0.004922+0.000483j), (-0.001672+0.001128j), (-0.000375+0.000729j), (0.000010+0.000333j), (0.000069+0.000116j), (0.000048+0.000028j), (0.000022+0.000000j), (0.000008-0.000004j), (0.000002-0.000003j)
 (-0.000000+0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000+0.000000j), (0.000000+0.000000j), (0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000+0.000000j), (-0.000001+0.000000j), (-0.000002-0.000000j), (-0.000003-0.000002j), (-0.000004-0.000008j), (0.000000-0.000022j), (0.000027-0.000048j), (0.000116-0.000069j), (0.000330-0.000008j), (0.000715+0.000381j), (0.001064+0.001681j), (0.000199+0.004895j), (-0.005746+0.010728j), (-0.026479+0.015760j), (-0.080856-0.000846j), (-0.191485-0.116637j), (0.666317-0.576440j), (-0.191485-0.116637j), (-0.080856-0.000846j), (-0.026479+0.015760j), (-0.005746+0.010728j), (0.000199+0.004895j), (0.001064+0.001681j), (0.000715+0.000381j), (0.000330-0.000008j), (0.000116-0.000069j), (0.000028-0.000048j), (0.000001-0.000023j), (-0.000003-0.000008j), (-0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000+0.000000j), (0.000000+0.000000j), (0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000001j), (0.000000-0.000002j), (0.000002-0.000003j), (0.000008-0.000004j), (0.000022+0.000000j), (0.000048+0.000028j), (0.000069+0.000116j), (0.000010+0.000333j), (-0.000375+0.000729j), (-0.001672+0.001128j), (-0.004922+0.000483j), (-0.011145-0.004558j), (-0.018800-0.021835j), (-0.017061-0.064187j), (0.022429-0.139023j), (0.117948-0.208479j), (0.022429-0.139023j), (-0.017061-0.064187j), (-0.018800-0.021835j), (-0.011145-0.004558j), (-0.004922+0.000483j), (-0.001672+0.001128j), (-0.000375+0.000729j), (0.000010+0.000333j), (0.000069+0.000116j), (0.000048+0.000028j), (0.000023+0.000001j), (0.000008-0.000003j)
 (-0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000+0.000000j), (0.000000+0.000000j), (0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000+0.000000j), (-0.000001+0.000000j), (-0.000002-0.000000j), (-0.000003-0.000002j), (-0.000004-0.000008j), (0.000000-0.000022j), (0.000027-0.000048j), (0.000116-0.000069j), (0.000330-0.000008j), (0.000715+0.000381j), (0.001064+0.001681j), (0.000199+0.004895j), (-0.005746+0.010728j), (-0.026479+0.015760j), (-0.080856-0.000846j), (-0.191485-0.116637j), (0.666317-0.576440j), (-0.191485-0.116637j), (-0.080856-0.000846j), (-0.026479+0.015760j), (-0.005746+0.010728j), (0.000199+0.004895j), (0.001064+0.001681j), (0.000715+0.000381j), (0.000330-0.000008j), (0.000116-0.000069j), (0.000029-0.000047j), (0.000003-0.000020j), (-0.000000-0.000000j), (-0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000+0.000000j), (0.000000+0.000000j), (0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000001j), (0.000000-0.000002j), (0.000002-0.000003j), (0.000008-0.000004j), (0.000022+0.000000j), (0.000048+0.000028j), (0.000069+0.000116j), (0.000010+0.000333j), (-0.000375+0.000729j), (-0.001672+0.001128j), (-0.004922+0.000483j), (-0.011145-0.004558j), (-0.018800-0.021835j), (-0.017061-0.064187j), (0.022429-0.139023j), (0.117948-0.208479j), (0.022429-0.139023j), (-0.017061-0.064187j), (-0.018800-0.021835j), (-0.011145-0.004558j), (-0.004922+0.000483j), (-0.001672+0.001128j), (-0.000375+0.000729j), (0.000010+0.000333j), (0.000070+0.000117j), (0.000048+0.000029j), (0.000020+0.000003j)
 (-0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000+0.000000j), (0.000000+0.000000j), (0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000+0.000000j), (-0.000001+0.000000j), (-0.000002-0.000000j), (-0.000003-0.000002j), (-0.000004-0.000008j), (0.000000-0.000022j), (0.000027-0.000048j), (0.000116-0.000069j), (0.000330-0.000008j), (0.000715+0.000381j), (0.001064+0.001681j), (0.000199+0.004895j), (-0.005746+0.010728j), (-0.026479+0.015760j), (-0.080856-0.000846j), (-0.191485-0.116637j), (0.666317-0.576440j), (-0.191485-0.116637j), (-0.080856-0.000846j), (-0.026479+0.015760j), (-0.005746+0.010728j), (0.000199+0.004895j), (0.001064+0.001681j), (0.000716+0.000381j), (0.000332-0.000008j), (0.000119-0.000067j), (0.000032-0.000040j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000+0.000000j), (0.000000+0.000000j), (0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000001j), (0.000000-0.000002j), (0.000002-0.000003j), (0.000008-0.000004j), (0.000022+0.000000j), (0.000048+0.000028j), (0.000069+0.000116j), (0.000010+0.000333j), (-0.000375+0.000729j), (-0.001672+0.001128j), (-0.004922+0.000483j), (-0.011145-0.004558j), (-0.018800-0.021835j), (-0.017061-0.064187j), (0.022429-0.139023j), (0.117948-0.208479j), (0.022429-0.139023j), (-0.017061-0.064187j), (-0.018800-0.021835j), (-0.011145-0.004558j), (-0.004922+0.000483j), (-0.001671+0.001128j), (-0.000375+0.000730j), (0.000010+0.000335j), (0.000067+0.000119j), (0.000040+0.000032j)
 (0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000+0.000000j), (0.000000+0.000000j), (0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000+0.000000j), (-0.000001+0.000000j), (-0.000002-0.000000j), (-0.000003-0.000002j), (-0.000004-0.000008j), (0.000000-0.000022j), (0.000027-0.000048j), (0.000116-0.000069j), (0.000330-0.000008j), (0.000715+0.000381j), (0.001064+0.001681j), (0.000199+0.004895j), (-0.005746+0.010728j), (-0.026479+0.015760j), (-0.080856-0.000846j), (-0.191485-0.116637j), (0.666317-0.576440j), (-0.191485-0.116637j), (-0.080856-0.000846j), (-0.026479+0.015760j), (-0.005746+0.010727j), (0.000199+0.004895j), (0.001065+0.001681j), (0.000719+0.000383j), (0.000335-0.000000j), (0.000115-0.000046j), (-0.000000+0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000+0.000000j), (0.000000+0.000000j), (0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000001j), (0.000000-0.000002j), (0.000002-0.000003j), (0.000008-0.000004j), (0.000022+0.000000j), (0.000048+0.000028j), (0.000069+0.000116j), (0.000010+0.000333j), (-0.000375+0.000729j), (-0.001672+0.001128j), (-0.004922+0.000483j), (-0.011145-0.004558j), (-0.018800-0.021835j), (-0.017061-0.064187j), (0.022429-0.139023j), (0.117948-0.208479j), (0.022429-0.139023j), (-0.017061-0.064187j), (-0.018800-0.021835j), (-0.011145-0.004558j), (-0.004922+0.000484j), (-0.001672+0.001129j), (-0.000377+0.000732j), (0.000002+0.000337j), (0.000047+0.000116j)
 (0.000000+0.000000j), (0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000+0.000000j), (0.000000+0.000000j), (0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000+0.000000j), (-0.000001+0.000000j), (-0.000002-0.000000j), (-0.000003-0.000002j), (-0.000004-0.000008j), (0.000000-0.000022j), (0.000027-0.000048j), (0.000116-0.000069j), (0.000330-0.000008j), (0.000715+0.000381j), (0.001064+0.001681j), (0.000199+0.004895j), (-0.005746+0.010728j), (-0.026479+0.015760j), (-0.080856-0.000846j), (-0.191485-0.116637j), (0.666317-0.576440j), (-0.191485-0.116637j), (-0.080856-0.000846j), (-0.026479+0.015760j), (-0.005744+0.010728j), (0.000202+0.004897j), (0.001068+0.001689j), (0.000715+0.000403j), (0.000303+0.000039j), (-0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000+0.000000j), (0.000000+0.000000j), (0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000001j), (0.000000-0.000002j), (0.000002-0.000003j), (0.000008-0.000004j), (0.000022+0.000000j), (0.000048+0.000028j), (0.000069+0.000116j), (0.000010+0.000333j), (-0.000375+0.000729j), (-0.001672+0.001128j), (-0.004922+0.000483j), (-0.011145-0.004558j), (-0.018800-0.021835j), (-0.017061-0.064187j), (0.022429-0.139023j), (0.117948-0.208479j), (0.022429-0.139023j), (-0.017061-0.064187j), (-0.018800-0.021835j), (-0.011145-0.004556j), (-0.004924+0.000486j), (-0.001680+0.001132j), (-0.000398+0.000729j), (-0.000038+0.000305j)
 (0.000000+0.000000j), (0.000000+0.000000j), (0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000+0.000000j), (0.000000+0.000000j), (0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000+0.000000j), (-0.000001+0.000000j), (-0.000002-0.000000j), (-0.000003-0.000002j), (-0.000004-0.000008j), (0.000000-0.000022j), (0.000027-0.000048j), (0.000116-0.000069j), (0.000330-0.000008j), (0.000715+0.000381j), (0.001064+0.001681j), (0.000199+0.004895j), (-0.005746+0.010728j), (-0.026479+0.015760j), (-0.080856-0.000846j), (-0.191485-0.116637j), (0.666317-0.576440j), (-0.191485-0.116637j), (-0.080855-0.000845j), (-0.026476+0.015762j), (-0.005742+0.010736j), (0.000199+0.004917j), (0.001036+0.001729j), (0.000600+0.000450j), (-0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000+0.000000j), (0.000000+0.000000j), (0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000001j), (0.000000-0.000002j), (0.000002-0.000003j), (0.000008-0.000004j), (0.000022+0.000000j), (0.000048+0.000028j), (0.000069+0.000116j), (0.000010+0.000333j), (-0.000375+0.000729j), (-0.001672+0.001128j), (-0.004922+0.000483j), (-0.011145-0.004558j), (-0.018800-0.021835j), (-0.017061-0.064187j), (0.022429-0.139023j), (0.117948-0.208479j), (0.022429-0.139022j), (-0.017061-0.064185j), (-0.018802-0.021832j), (-0.011153-0.004554j), (-0.004945+0.000483j), (-0.001719+0.001100j), (-0.000445+0.000613j)
 (0.000000-0.000000j), (0.000000+0.000000j), (0.000000+0.000000j), (0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000+0.000000j), (0.000000+0.000000j), (0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000+0.000000j), (-0.000001+0.000000j), (-0.000002-0.000000j), (-0.000003-0.000002j), (-0.000004-0.000008j), (0.000000-0.000022j), (0.000027-0.000048j), (0.000116-0.000069j), (0.000330-0.000008j), (0.000715+0.000381j), (0.001064+0.001681j), (0.000199+0.004895j), (-0.005746+0.010728j), (-0.026479+0.015760j), (-0.080856-0.000846j), (-0.191485-0.116637j), (0.666319-0.576440j), (-0.191482-0.116635j), (-0.080852-0.000838j), (-0.026479+0.015783j), (-0.005773+0.010775j), (0.000083+0.004964j), (0.000733+0.001689j), (0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000+0.000000j), (0.000000+0.000000j), (0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000001j), (0.000000-0.000002j), (0.000002-0.000003j), (0.000008-0.000004j), (0.000022+0.000000j), (0.000048+0.000028j), (0.000069+0.000116j), (0.000010+0.000333j), (-0.000375+0.000729j), (-0.001672+0.001128j), (-0.004922+0.000483j), (-0.011145-0.004558j), (-0.018800-0.021835j), (-0.017061-0.064187j), (0.022429-0.139022j), (0.117948-0.208478j), (0.022427-0.139020j), (-0.017069-0.064182j), (-0.018823-0.021836j), (-0.011193-0.004585j), (-0.004992+0.000367j), (-0.001682+0.000795j)
 (0.000000-0.000000j), (0.000000-0.000000j), (0.000000+0.000000j), (0.000000+0.000000j), (0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000+0.000000j), (0.000000+0.000000j), (0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000+0.000000j), (-0.000001+0.000000j), (-0.000002-0.000000j), (-0.000003-0.000002j), (-0.000004-0.000008j), (0.000000-0.000022j), (0.000027-0.000048j), (0.000116-0.000069j), (0.000330-0.000008j), (0.000715+0.000381j), (0.001064+0.001681j), (0.000199+0.004895j), (-0.005746+0.010727j), (-0.026479+0.015760j), (-0.080855-0.000845j), (-0.191482-0.116635j), (0.666322-0.576432j), (-0.191486-0.116615j), (-0.080884-0.000798j), (-0.026595+0.015829j), (-0.006076+0.010736j), (-0.000517+0.004514j), (0.000000+0.000000j), (0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000+0.000000j), (0.000000+0.000000j), (0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000001j), (0.000000-0.000002j), (0.000002-0.000003j), (0.000008-0.000004j), (0.000022+0.000000j), (0.000048+0.000028j), (0.000069+0.000116j), (0.000010+0.000333j), (-0.000375+0.000729j), (-0.001672+0.001128j), (-0.004922+0.000483j), (-0.011145-0.004558j), (-0.018800-0.021835j), (-0.017061-0.064185j), (0.022427-0.139020j), (0.117940-0.208475j), (0.022407-0.139023j), (-0.017108-0.064214j), (-0.018870-0.021951j), (-0.011155-0.004891j), (-0.004547-0.000246j)
 (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000+0.000000j), (0.000000+0.000000j), (0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000+0.000000j), (0.000000+0.000000j), (0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000+0.000000j), (-0.000001+0.000000j), (-0.000002-0.000000j), (-0.000003-0.000002j), (-0.000004-0.000008j), (0.000000-0.000022j), (0.000027-0.000048j), (0.000116-0.000069j), (0.000330-0.000008j), (0.000715+0.000381j), (0.001064+0.001681j), (0.000199+0.004895j), (-0.005744+0.010728j), (-0.026476+0.015762j), (-0.080852-0.000838j), (-0.191486-0.116615j), (0.666290-0.576392j), (-0.191601-0.116568j), (-0.081187-0.000837j), (-0.027194+0.015380j), (-0.006810+0.009047j), (0.000000+0.000000j), (0.000000+0.000000j), (0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000+0.000000j), (0.000000+0.000000j), (0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000001j), (0.000000-0.000002j), (0.000002-0.000003j), (0.000008-0.000004j), (0.000022+0.000000j), (0.000048+0.000028j), (0.000069+0.000116j), (0.000010+0.000333j), (-0.000375+0.000729j), (-0.001671+0.001128j), (-0.004922+0.000484j), (-0.011145-0.004556j), (-0.018802-0.021832j), (-0.017069-0.064182j), (0.022407-0.139023j), (0.117901-0.208507j), (0.022360-0.139139j), (-0.017071-0.064520j), (-0.018425-0.022564j), (-0.009474-0.005686j)
 (-0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000+0.000000j), (0.000000+0.000000j), (0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000+0.000000j), (0.000000+0.000000j), (0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000+0.000000j), (-0.000001+0.000000j), (-0.000002-0.000000j), (-0.000003-0.000002j), (-0.000004-0.000008j), (0.000000-0.000022j), (0.000027-0.000048j), (0.000116-0.000069j), (0.000330-0.000008j), (0.000716+0.000381j), (0.001065+0.001681j), (0.000202+0.004897j), (-0.005742+0.010736j), (-0.026479+0.015783j), (-0.080884-0.000798j), (-0.191601-0.116568j), (0.665987-0.576432j), (-0.192201-0.117018j), (-0.081920-0.002527j), (-0.026678+0.010866j), (0.000000-0.000000j), (0.000000+0.000000j), (0.000000+0.000000j), (0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000+0.000000j), (0.000000+0.000000j), (0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000+0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000001j), (0.000000-0.000002j), (0.000002-0.000003j), (0.000008-0.000004j), (0.000022+0.000000j), (0.000048+0.000028j), (0.000069+0.000116j), (0.000010+0.000333j), (-0.000375+0.000730j), (-0.001672+0.001129j), (-0.004924+0.000486j), (-0.011153-0.004554j), (-0.018823-0.021836j), (-0.017108-0.064214j), (0.022360-0.139139j), (0.117938-0.208812j), (0.022804-0.139752j), (-0.015389-0.065315j), (-0.013878-0.022318j)
